Matching.Attribute;Ensembl;Ensembl-mapping-by-Label-as-HGNC;Ensembl-mapping-by-name-as-entrez;cl1.Status;entrez gene/locuslink;biogrid;Label;ncbi_gene_id;name;shared name
[ENSG00000163513];ENSG00000163513;;ENSG00000163513;Outlier;[AAT3, LDS1B, 7048, LDS2B, TGFR-2, FAA3, TGFbeta-RII, TGFBR2, LDS2, RIIC, MFS2, TAAD2];[112906];TGFBR2;7048;ENSP00000351905;"7048;ENSP00000351905"
[ENSG00000166949];ENSG00000166949;;ENSG00000166949;Outlier;[MADH3, LDS1C, SMAD3, 4088, HSPC193, LDS3, HsT17436, JV15-2];[110263];MADH3;4088;4088;"4088;ENSP00000332973"
[ENSG00000122705];ENSG00000122705;ENSG00000122705;ENSG00000122705;Outlier;[1211, CLTA, LCA];[107621];CLTA;1211;1211;"1211;ENSP00000242285"
[ENSG00000122756];ENSG00000122756;ENSG00000122756;ENSG00000122756;"Cluster;Outlier";[CNTFR, 1271, RP11-296L22.1];[107671];CNTFR;1271;1271;1271
[ENSG00000175505];ENSG00000175505;;ENSG00000175505;"Cluster;Outlier";[BSF3, 23529, BSF-3, NR6, CLCF1, NNT-1, NNT1, CLC, CISS2];[117075];BSF3;23529;23529;23529
[ENSG00000123384];ENSG00000123384;;ENSG00000123384;"Cluster;Outlier";[TGFBR5, APR, LRP1, APOER, 4035, CD91, A2MR, LRP, IGFBP3R, LRP1A];[110215];TGFBR5;4035;4035;4035
[ENSG00000100311];ENSG00000100311;;ENSG00000100311;"Cluster;Overlap";[IBGC5, 5155, SSV, PDGFB, PDGF2, c-sis, PDGF-2, SIS, LL22NC03-10C3.2];[111181];IBGC5;5155;5155;5155
[ENSG00000124181];ENSG00000124181;;ENSG00000124181;Outlier;[NCKAP3, RP3-511B24.2, PLC-II, 5335, PLCG1, PLCgamma1, PLC1, PLC148];[111351];NCKAP3;5335;5335;"5335;ENSP00000244007"
[ENSG00000197461];ENSG00000197461;;ENSG00000197461;"Cluster;Overlap";[5154, PDGF-A, PDGFA, PDGF1];[111180];PDGFA;5154;ENSP00000346508;ENSP00000346508
[ENSG00000124610];ENSG00000124610;;ENSG00000124610;"Cluster;Outlier";[H1F1, HIST1, 3024, H1A, HIST1H1A, H1.1];[109275];HIST1H1A;3024;ENSP00000244573;ENSP00000244573
