Matching.Attribute;;cl1.Status;Ensembl;Ensembl-by-entrez_ncbi-combined;Ensembl-by-hgnc-label;entrez gene/locuslink;Human Readable Label;Label;biogrid;ncbi_gene_id
ENSG00000134853;;Overlap;ENSG00000134853;ENSG00000134853;;PDGFR2|RHEPDGFRA|PDGFRA|PDGFR-2|5156|CD140A;PDGFR2;PDGFRA;111182;5156
ENSG00000155508;;"Cluster;Outlier";ENSG00000155508;ENSG00000155508;;9337|Caf1b|POP2|CALIF|CAF1|hCAF1|CNOT8;Caf1b;CNOT8;114744;9337
ENSG00000198791;;"Cluster;Outlier";ENSG00000198791;ENSG00000198791;;hCAF-1|CNOT7|Caf1a|CAF1|29883;hCAF-1;CNOT7;118938;29883
ENSG00000126457;;"Cluster;Outlier";ENSG00000126457;ENSG00000126457;;IR1B4|HRMT1L2|PRMT1|3276|HCP1|ANM1;IR1B4;PRMT1;109512;3276
ENSG00000133639;;"Cluster;Outlier";ENSG00000133639;ENSG00000133639;ENSG00000133639;694|BTG1;BTG1;BTG1;107159;694
ENSG00000131981;;Outlier;ENSG00000131981;ENSG00000131981;;GAL3|MAC2|3958|LGALS3|LGALS2|GALBP|GALIG|L31|CBP35;GAL3;LGALS3;110149;3958
ENSG00000130522;;"Cluster;Outlier";ENSG00000130522;ENSG00000130522;ENSG00000130522;3727|JUND|AP-1;JUND;JUND;109930;3727
ENSG00000128342;;Outlier;ENSG00000128342;ENSG00000128342;;HILDA|CDF|LIF|3976|DIA|MLPLI;HILDA;LIF;110164;3976
ENSG00000127947;;Outlier;ENSG00000127947;ENSG00000127947;;tcag7.1075|5782|PTPG1|PTPN12|PTP-PEST;tcag7.1075;PTPN12;111746;5782
ENSG00000106211;;Outlier;ENSG00000106211;ENSG00000106211;;HEL-S-102|3315|HMN2B|Hsp25|HS.76067|HSP28|HSP27|HSPB1|CMT2F|SRP27;HEL-S-102;HSPB1;109547;3315
ENSG00000124882;;Outlier;ENSG00000124882;ENSG00000124882;;2069|ER|EREG;ER;EREG;108381;2069
ENSG00000197461;;Overlap;ENSG00000197461;ENSG00000197461;;5154|PDGF-A|PDGFA|PDGF1;PDGF-A;PDGFA;111180;5154
ENSG00000124181;;Outlier;ENSG00000124181;ENSG00000124181;;NCKAP3|RP3-511B24.2|PLC-II|5335|PLCG1|PLCgamma1|PLC1|PLC148;NCKAP3;PLCG1;111351;5335
ENSG00000100311;;Overlap;ENSG00000100311;ENSG00000100311;;IBGC5|5155|SSV|PDGFB|PDGF2|c-sis|PDGF-2|SIS|LL22NC03-10C3.2;IBGC5;PDGFB;111181;5155
ENSG00000123384;;"Cluster;Outlier";ENSG00000123384;ENSG00000123384;;TGFBR5|APR|LRP1|APOER|4035|CD91|A2MR|LRP|IGFBP3R|LRP1A;TGFBR5;LRP1;110215;4035
ENSG00000122756;;Outlier;ENSG00000122756;ENSG00000122756;ENSG00000122756;CNTFR|1271|RP11-296L22.1;CNTFR;CNTFR;107671;1271
ENSG00000122705;;Outlier;ENSG00000122705;ENSG00000122705;ENSG00000122705;1211|CLTA|LCA;CLTA;CLTA;107621;1211
ENSG00000166949;;"Cluster;Outlier";ENSG00000166949;ENSG00000166949;;MADH3|LDS1C|SMAD3|4088|HSPC193|LDS3|HsT17436|JV15-2;MADH3;SMAD3;110263;4088
ENSG00000163513;;Outlier;ENSG00000163513;ENSG00000163513;;AAT3|LDS1B|7048|LDS2B|TGFR-2|FAA3|TGFbeta-RII|TGFBR2|LDS2|RIIC|MFS2|TAAD2;AAT3;TGFBR2;112906;7048
ENSG00000113658;;"Cluster;Outlier";ENSG00000113658;ENSG00000113658;;DWFC|MADH5|JV5-1|4090|SMAD5;DWFC;SMAD5;110265;4090
ENSG00000170365;;"Cluster;Outlier";ENSG00000170365;ENSG00000170365;ENSG00000170365;SMAD1|4086|MADH1|MADR1|JV4-1|BSP-1|JV41|BSP1;SMAD1;SMAD1;110261;4086
ENSG00000118816;;Outlier;ENSG00000118816;ENSG00000118816;;CYI|CCNI|CCNI1|CYC1|10983;CYI;CCNI;116179;10983
ENSG00000071051;;Outlier;ENSG00000071051;ENSG00000071051;ENSG00000071051;8440|NCK2|GRB4|NCKbeta;NCK2;NCK2;114020;8440
ENSG00000112578;;"Cluster;Outlier";ENSG00000112578;ENSG00000112578;;BYSTIN|RP5-973N23.2|705|BYSL;BYSTIN;BYSL;107167;705
ENSG00000112062;;Outlier;ENSG00000112062;ENSG00000112062;;CSBP|p38ALPHA|CSBP2|PRKM15|SAPK2A|CSBP1|RP1-179N16.5|MAPK14|PRKM14|Mxi2|p38|1432|CSPB1|RK|EXIP;CSBP;MAPK14;107819;1432
ENSG00000111640;;Outlier;ENSG00000111640;ENSG00000111640;;G3PD|2597|CDABP0047|GAPDH|HEL-S-162eP|GAPD;G3PD;GAPDH;108868;2597
ENSG00000121022;;Outlier;ENSG00000121022;ENSG00000121022;ENSG00000121022;10987|COPS5|JAB1|CSN5|MOV-34|SGN5;COPS5;COPS5;116183;10987
ENSG00000145604;;Outlier;ENSG00000145604;ENSG00000145604;;p45|FBL1|FLB1|6502|FBXL1|SKP2;p45;SKP2;112393;6502
ENSG00000163743;;Outlier;ENSG00000163743;ENSG00000163743;;ZNF363|PRO1996|ZCHY|CHIMP|PIRH2|RCHY1|25898|ARNIP|RNF199;ZNF363;RCHY1;117406;25898
ENSG00000139842;;"Cluster;Outlier";ENSG00000139842;ENSG00000139842;ENSG00000139842;CUL4A|8451|RP11-391H12.1;CUL4A;CUL4A;114029;8451
ENSG00000073111;;"Cluster;Outlier";ENSG00000073111;ENSG00000073111;;MITOTIN|D3S3194|CDCL1|cdc19|CCNL1|BM28|4171|MCM2;MITOTIN;MCM2;110339;4171
ENSG00000166913;;Outlier;ENSG00000166913;ENSG00000166913;;YWHAA|YWHAB|GW128|HS1|RP1-148E22.1|HEL-S-1|7529|KCIP-1;YWHAA;YWHAB;113361;7529
ENSG00000096968;;Outlier;ENSG00000096968;ENSG00000096968;;3717|THCYT3|JTK10|JAK2;THCYT3;JAK2;109920;3717
ENSG00000064012;;Outlier;ENSG00000064012;ENSG00000064012;;ALPS2B|CASP8|841|Casp-8|MCH5|MACH|FLICE|CAP4;ALPS2B;CASP8;107291;841
ENSG00000173207;;Outlier;ENSG00000173207;ENSG00000173207;;RP11-307C12.6|PNAS-18|ckshs1|PNAS-16|CKS1|1163|CKS1B;RP11-307C12.6;CKS1B;107582;1163
ENSG00000134308;;Outlier;ENSG00000134308;ENSG00000134308;ENSG00000134308;14-3-3|1C5|YWHAQ|HS1|10971;YWHAQ;YWHAQ;116168;10971
ENSG00000125347;;Outlier;ENSG00000125347;ENSG00000125347;ENSG00000125347;IRF1|IRF-1|3659|MAR;IRF1;IRF1;109867;3659
ENSG00000163806;;Outlier;ENSG00000163806;ENSG00000163806;;RINGO3|SPY1|RINGOA|SPDYA|SPDY1|245711;RINGO3;SPDYA;128828;245711
ENSG00000175305;;Outlier;ENSG00000175305;ENSG00000175305;;9134|CYCE2|CCNE2;CYCE2;CCNE2;114582;9134
ENSG00000097007;;Outlier;ENSG00000097007;ENSG00000097007;;v-abl|bcr/abl|25|JTK7|ABL1|c-ABL1|c-ABL|RP11-83J21.1|ABL|p150;v-abl;ABL1;106543;25
ENSG00000164068;;Outlier;ENSG00000164068;ENSG00000164068;;KPC1|RNF123|63891|FP1477;KPC1;RNF123;121971;63891
ENSG00000114030;;Outlier;ENSG00000114030;ENSG00000114030;;3836|IPOA5|SRP1|NPI-1|RCH2|KPNA1;IPOA5;KPNA1;110034;3836
ENSG00000145386;;Outlier;ENSG00000145386;ENSG00000145386;ENSG00000145386;CCNA2|CCN1|CCNA|890;CCNA2;CCNA2;107331;890
ENSG00000008018;;Outlier;ENSG00000008018;ENSG00000008018;;PSC5|PSMB1|5689|HC5|PMSB1;PSC5;PSMB1;111662;5689
ENSG00000067560;;Outlier;ENSG00000067560;ENSG00000067560;;387|ARH12|ARHA|RHOH12|RHOA|RHO12;ARH12;RHOA;106880;387
ENSG00000118971;;Outlier;ENSG00000118971;ENSG00000118971;ENSG00000118971;894|CCND2|MPPH3|KIAK0002;CCND2;CCND2;107334;894
